,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,mean
0,AT,0.8675128822250868,0.9271139633237954,0.8501900903067462,0.8454518438639259,0.8852170797241796,0.9044525874281935,0.8423173203565912,0.9037544661485204,1.0144520567454918,0.965610129316659,0.997582646716346,0.9855540461610045,1.1627500920816225,1.0931233020519755,1.0919122688288303,1.069740106404328,1.2187196370073743,1.3034130237547685,1.3836219702598826,1.4544571963474446,1.4230922325975135,1.472754933366587,1.3717531513862373,1.3329354453773696,1.502325954804001,1.5805836707347074,1.5301400295763379,1.3636311026283232,1.2804037260507073,1.3396649830865213,1.2793837380946091,1.1792034264843532
1,AU,1.0653121241947014,1.0026961511883605,1.0806240340796396,1.1674046769631177,1.029976455763814,1.0272872538956774,1.128516684300824,1.2884759919681072,1.0966063369064334,1.2059291190033639,1.374042738706283,1.3186577267434791,1.2649600415116504,1.169831242566343,1.052257107045763,1.0113535445648745,1.0000447987092278,0.9520431531515733,0.9011059217559053,0.8650326322549426,0.819261667362706,0.847819036370151,0.860071338101104,0.9546389680854106,0.9720394076780275,0.9993767118802472,0.849481396417453,0.8961983672869315,0.8252960979023461,1.03490771895961,1.1090504449132208,1.0368328922012195
2,BE,1.066740393389601,1.1335887305189785,1.082807106565421,0.9682454755861089,0.9611590590860585,0.9189025585603711,0.7603584146105322,0.7179995338591729,0.7183302903761203,0.6233716121414585,0.5996858151800017,0.5880971355178344,0.6483693085229056,0.5754369652420305,0.6650496678050879,0.7655885780215483,0.7868742025582945,0.8731244098517599,0.9741749071798919,1.0318728990856028,1.0683042496751112,1.036939069273054,1.0737633000713633,1.0639769964014172,1.0201194103973261,1.1470464000641731,1.1971394369515354,1.1166418653878871,1.0974096702611087,1.0071450103112485,1.1340691188274097,0.9118530399296937
3,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4416644291607927,0.4536970341270985,0.3468560994014446,0.31077594443627876,0.29021059717153014,0.21983552132709702,0.21314536157004924,0.268163369960092,0.38786457898479537,0.3814853395299906,0.46147557076137397,0.5356131419783069,0.5017272523118532,0.4788320635647007,0.17637821014284677
4,BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4257092419110743,0.443212505040911,0.4950803400887247,0.4784999349819078,0.5203570238590353,0.5310044033238235,0.4005653636181041,0.42842961488345305,0.353232871002829,0.4126012171804995,0.4802968599711109,0.4871811211258531,0.5521184468007664,0.6245449927893159,0.6819992708560344,0.7168646366978152,0.7873917913629357,0.7761974737659612,0.8293360965392259,0.8514455948936325,0.9125133381522587,0.8327151817808481,0.8025052645057855,0.46079341950439695
5,CA,1.6001655724108308,1.6746488278001037,1.67584942670734,1.5872019657907996,1.5897247392962153,1.6909029847778523,1.7991080460444677,1.965699580811391,1.8947220999871572,2.0817543940516945,1.9055162689870762,1.8467005173120978,1.8387180362064994,1.9072542091079092,1.6763519419850543,1.491641769042285,1.4646803723329807,1.6209041659410484,1.4270855585972892,1.4859275428693708,1.669949954392929,1.5551222369908284,1.4769328466225744,1.2631547053300685,1.337316618028141,1.4007330900370405,1.369301704401805,1.3185205453532756,1.1162850144143197,1.1250899312830707,1.130861134992589,1.5795886743165088
6,CH,1.358952102390749,1.4488715498717857,1.4636596641353679,1.3317320939122892,1.2758895292520152,1.2766893511755795,1.2575198219358423,1.491140689509452,1.5047094652986306,1.4857057035604138,1.3585619925075092,1.4656267052819691,1.519183654591968,1.49514699070483,1.6216593529918768,1.54698321581376,1.6239199889866922,1.7297208787152238,1.7265798333357165,1.7708803008530383,1.712481013274163,1.8939279631863848,1.836767699454149,1.8544996004647512,1.9425734673315505,1.9166917600030575,1.920677740777265,1.7325132097012177,1.6713955907365694,1.7370083127482272,1.6977430392111497,1.6103486726440812
7,CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3381410084024493,0.36229844893984153,0.4961161916219246,0.5219383626426136,0.5519490462943429,0.5575331851901796,0.6516743930527228,0.1159883545381358
8,CN,0.0,0.26408929066467995,0.27985423353448335,0.2925647033119827,0.3040780455617027,0.1932800308825812,0.16311730029338897,0.13574591550439383,0.1837508243866147,0.17606145409939822,0.1421241761304475,0.20057117757300844,0.1976790702071866,0.15624699278012816,0.11020756503282277,0.172846431931269,0.19451447628839252,0.2741473779263817,0.29170502878730564,0.2836730181889393,0.3024883639887052,0.3486258750667981,0.2612444918508318,0.19157502903393778,0.22903916631352703,0.17533345925981328,0.21996982277364968,0.19636832487572017,0.13550333195295738,0.19351584853801607,0.15722484029775888,0.21423818890122742
9,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37123413186758725,0.5086773086927359,0.588060169379969,0.6009143351042466,0.7928527568617619,0.7468312516071436,0.6874928224059649,0.7729194580902184,0.7939516991072675,0.868440862054101,0.970095097943385,1.12527341724922,0.9998583654485365,1.034111369883419,0.9890746153622645,0.9189503744183004,1.0033837189942416,0.9218190221593343,1.0507551921116507,1.2505605219102602,0.5665085496883868
