,MA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,'s-Hertogenbosch_NL,31164.578515625,31775.02890625,32506.05625,33430.773828125,34549.4375,35893.5890625,37352.88125,38632.3296875,39523.77578125,40148.6046875,40513.36953125,40711.109375,41190.2609375,42061.0625,43046.49140625,43577.9375,44004.20859375,44197.571875,43991.16875,43618.1515625,43619.940625
1,A Coruña_ES,20277.068359375,20753.42109375,21155.37265625,21576.8234375,22187.63828125,22875.08828125,23281.2265625,23843.5578125,24533.75703125,25217.129296875,25955.10703125,26867.331640625,27803.71875,28749.6234375,29701.376171875,30421.70703125,31104.272265625,31524.696875,31532.601953125,31314.42265625,31276.975390625
2,Aalborg_DK,22766.534765625,23360.896484375,23903.426171875,24377.445703125,24952.210546875,25453.878515625,26027.39375,26569.120703125,27099.819140625,27425.14609375,27754.623046875,27956.966015625,28433.722265625,28838.26171875,29224.2453125,29234.44765625,29195.145703125,28910.870703125,28576.413671875,28273.919921875,28268.459765625
3,Aarhus_DK,22766.53203125,23360.89375,23903.426171875,24377.44765625,24952.21171875,25453.876953125,26027.391015625,26569.116796875,27099.816015625,27425.141796875,27754.623828125,27956.9703125,28433.7234375,28838.2625,29224.248046875,29234.44921875,29195.1421875,28910.867578125,28576.407421875,28273.910546875,28268.44921875
4,Abakan_RU,15540.045703125,14123.6720703125,12580.6615234375,11762.8357421875,11242.042578125,11117.2505859375,11037.346875,11229.3306640625,11436.7666015625,11612.9755859375,11609.058984375,11774.8615234375,12285.973046875,12661.2267578125,13003.2224609375,13818.9947265625,14029.6126953125,14055.212890625,14083.6880859375,14168.5384765625,13878.0478515625
5,Abbotsford_CA,31750.24921875,31654.881640625,31731.5234375,31994.3609375,32165.9421875,32414.676171875,32909.8359375,33433.9953125,34018.309375,34670.65390625,35429.40859375,36231.45546875,37232.18828125,38201.08671875,39053.2609375,39410.94375,39532.0484375,39568.496875,39493.6171875,39537.9015625,39981.203125
6,Aberdeen_GB,26694.7203125,26946.337109375,27391.837109375,27954.176953125,28499.374609375,28969.19921875,29637.9375,30339.16171875,31072.233984375,31896.6265625,32788.703515625,33613.774609375,34507.52890625,35427.6828125,36149.5953125,36371.54609375,36412.46640625,36340.77421875,36138.35234375,36066.17421875,36483.7421875
7,Abilene_US,33794.0359375,34330.04375,35151.2734375,36174.63125,37337.70390625,38628.4578125,40125.4953125,41363.06875,42133.12421875,42763.828125,43353.5625,44027.80390625,44871.34296875,45906.78671875,46970.971875,47158.79921875,47145.309375,47073.63515625,47028.9203125,46890.37578125,47536.44921875
8,Adana_TR,9954.0611328125,10159.1091796875,10494.384765625,11015.956640625,11388.4869140625,11675.1916015625,11825.7197265625,11754.6734375,11525.980859375,11456.0009765625,11678.44921875,12058.29453125,12759.10703125,13458.498046875,14056.480078125,14290.2361328125,14556.6560546875,14879.9611328125,15114.1736328125,15438.30859375,15983.5802734375
9,Adelaide_AU,25280.78671875,25480.634765625,25958.866796875,26712.244140625,27373.83515625,28111.46171875,28880.479296875,29647.49921875,30335.320703125,31127.901953125,31907.18515625,32491.89140625,32990.44140625,33758.643359375,34569.06953125,35193.6671875,35861.2171875,36583.69375,37035.66171875,37337.5671875,37771.36796875
10,Agra_IN,1411.3313232421874,1414.059228515625,1433.729150390625,1462.073681640625,1506.4418212890625,1565.953125,1617.2129150390624,1656.8634033203125,1701.4630859375,1743.9252197265625,1778.99990234375,1832.3559814453124,1906.7016357421876,1993.6271240234375,2088.459814453125,2204.0311279296875,2327.18212890625,2454.82685546875,2583.39609375,2724.814404296875,2868.980126953125
11,Aguascalientes_MX,13462.0986328125,13767.3830078125,14152.6873046875,14636.1212890625,15130.093359375,15501.9123046875,16289.486328125,17080.9904296875,17556.52890625,17851.663671875,18154.161328125,18206.04375,18294.53046875,17922.5267578125,17459.6169921875,16954.2232421875,16561.673046875,16009.9390625,16113.9740234375,16361.1955078125,16665.2849609375
12,Ahmadnagar_IN,3029.6931640625,3182.602685546875,3381.095361328125,3510.371044921875,3610.26875,3695.89833984375,3731.5396484375,3767.738525390625,3840.18203125,3953.13857421875,4103.950341796875,4386.2029296875,4751.17099609375,5167.2515625,5533.05107421875,5944.587109375,6324.592578125,6669.0287109375,6993.1412109375,7401.81787109375,7800.965234375
13,Ahmedabad_IN,2432.15537109375,2516.039453125,2666.807080078125,2750.247119140625,2865.23154296875,2996.013623046875,3083.174560546875,3176.526416015625,3307.644189453125,3497.638134765625,3701.1515625,4052.979443359375,4425.57646484375,4812.841748046875,5116.31923828125,5440.85224609375,5766.0921875,6098.6369140625,6422.41923828125,6824.71591796875,7252.53916015625
14,Aitkenvale_AU,26393.296875,26745.97421875,27290.3546875,27943.969140625,28720.928515625,29578.726171875,30524.76640625,31450.829296875,32387.423828125,33296.845703125,34293.380859375,35340.75859375,36419.6890625,37643.53671875,38691.16015625,39319.93671875,39575.04765625,39709.05,39723.34609375,39776.06015625,40006.54453125
15,Aix-en-Provence_FR,26086.90234375,26129.6875,26196.554296875,26483.279296875,27128.373828125,27900.148046875,28856.87578125,29946.396875,30802.074609375,31488.2421875,32196.00625,32701.796484375,33198.105078125,33603.125,33988.13125,34027.01171875,34043.7109375,34026.5203125,34093.09765625,34144.7734375,34297.98515625
16,Aizu-Wakamatsu_JP,26181.812109375,26795.9796875,27351.551953125,27964.376953125,28553.3421875,29042.246875,29465.157421875,29630.213671875,29648.172265625,29709.11484375,29960.83046875,30164.495703125,30611.77578125,31204.39765625,31822.92734375,31799.53046875,31988.69140625,31979.51171875,31966.037890625,32049.473828125,32552.00390625
17,Ajaccio_FR,26086.901953125,26129.687890625,26196.555078125,26483.280078125,27128.375,27900.149609375,28856.876953125,29946.39765625,30802.07578125,31488.24375,32196.008203125,32701.798046875,33198.106640625,33603.126171875,33988.13125,34027.0109375,34043.71015625,34026.51875,34093.09609375,34144.77265625,34297.98359375
18,Ajmer_IN,1547.7547607421875,1553.0423095703125,1614.6385986328125,1684.1341796875,1805.5212890625,1945.4262451171876,2040.3580078125,2124.401513671875,2140.8671875,2203.131005859375,2231.854736328125,2317.952294921875,2428.97958984375,2606.01015625,2728.970947265625,2898.433935546875,3117.83359375,3324.508935546875,3539.94697265625,3779.44248046875,4031.807861328125
19,Akbarpur_IN,1411.331298828125,1414.0591796875,1433.7291015625,1462.0736328125,1506.441748046875,1565.95302734375,1617.212841796875,1656.8634033203125,1701.4631103515626,1743.925244140625,1778.9999755859376,1832.3560546875,1906.70166015625,1993.6270751953125,2088.4598388671875,2204.0311279296875,2327.18212890625,2454.82685546875,2583.396142578125,2724.814404296875,2868.980126953125
20,Akita_JP,22527.348046875,23206.716015625,23912.99296875,24621.951171875,25097.91953125,25405.716015625,25638.771484375,25780.422265625,25842.564453125,26023.48515625,26204.51953125,26421.690234375,26849.648828125,27498.00546875,27971.809375,28486.17421875,29223.255078125,29620.624609375,29954.474609375,30483.518359375,30961.494140625
21,Akola_IN,3029.6931640625,3182.602685546875,3381.095361328125,3510.371044921875,3610.26875,3695.89833984375,3731.5396484375,3767.738525390625,3840.18203125,3953.13857421875,4103.950341796875,4386.2029296875,4751.17099609375,5167.2515625,5533.05107421875,5944.587109375,6324.592578125,6669.0287109375,6993.1412109375,7401.81787109375,7800.965234375
22,Akron_US,36259.62734375,36804.78203125,37590.5859375,38520.1484375,39566.1421875,40560.88828125,41578.2984375,42416.85390625,43088.515625,43696.475,44137.57890625,44537.1265625,45011.47109375,45293.38828125,45261.371875,44979.5109375,44792.70546875,44669.73828125,44718.98671875,44966.975,45540.39375
23,Aksu_CN,1975.1589599609374,2162.073046875,2295.4500244140627,2443.76162109375,2598.4642578125,2727.71865234375,2904.21884765625,3114.725634765625,3309.173681640625,3553.8171875,3820.795361328125,4092.0607421875,4437.667822265625,4848.9353515625,5256.57392578125,5627.6248046875,6141.6857421875,6672.184765625,7218.35712890625,7815.8650390625,8526.4345703125
24,Alacant / Alicante_ES,21810.262109375,21881.061328125,22229.938671875,22750.958203125,23533.421484375,24348.015234375,25323.15625,26153.394921875,26804.003125,27256.868359375,27824.63671875,28234.27109375,28479.21796875,28724.26953125,28822.43671875,28425.753125,27910.75703125,27287.794140625,26553.65,25886.4484375,25618.01015625
25,Alappuzha_IN,1806.7881103515624,1916.5673828125,2059.250244140625,2225.3248291015625,2435.744482421875,2674.01005859375,2883.577294921875,3063.564404296875,3248.624365234375,3428.3107421875,3609.27021484375,3887.248681640625,4181.394775390625,4487.86962890625,4793.115576171875,5110.28232421875,5449.0072265625,5813.9810546875,6179.89638671875,6580.14296875,6998.55732421875
26,Albacete_ES,18567.641796875,18689.694140625,19025.14921875,19391.89609375,20016.834765625,20722.740234375,21415.240234375,22052.27421875,22856.869921875,23371.73984375,23808.690234375,24307.266796875,24668.207421875,24813.381640625,25059.374609375,25214.43671875,25479.43203125,25596.523828125,25624.83046875,25524.325390625,25550.482421875
27,Albany_US,44552.6640625,44665.615625,45368.42578125,46284.30859375,47350.81484375,48635.23046875,49939.75,50967.60625,51626.13828125,52287.46328125,53075.48984375,54107.428125,55581.171875,57480.396875,59006.7140625,59607.31953125,60055.54375,60194.19140625,60113.0359375,60325.78203125,61199.0765625
28,Albuquerque_US,29482.566015625,30119.93046875,30763.40234375,31433.44375,32070.0984375,32637.4484375,33219.934765625,34133.40078125,34981.37734375,35813.70078125,36807.78828125,37944.2296875,38735.4421875,39547.3296875,40272.4046875,40587.5671875,40772.6421875,40966.53828125,41208.959375,41455.3734375,41989.04375
29,Alessandria_IT,35233.521875,35656.92109375,36201.43671875,36712.015625,37486.846875,38158.26171875,38730.24296875,39276.4265625,39783.27421875,40203.97890625,40520.5984375,40630.72734375,40818.36171875,41113.49453125,41257.43828125,40757.01640625,40324.70859375,39807.86796875,38998.36796875,38129.71484375,37737.94296875
30,Algeciras_ES,18278.616015625,18258.226953125,18534.4046875,18872.298046875,19435.482421875,20015.496875,20841.571484375,21603.171875,22415.539453125,23235.08671875,24151.54609375,24894.06953125,25630.727734375,26289.235546875,26820.4125,26830.42890625,26552.031640625,26050.24375,25376.91328125,24668.860546875,24350.863671875
31,Alibag_IN,3029.693115234375,3182.60263671875,3381.095263671875,3510.37099609375,3610.268701171875,3695.8982421875,3731.53955078125,3767.7384765625,3840.181982421875,3953.138525390625,4103.950341796875,4386.2029296875,4751.1708984375,5167.25146484375,5533.0509765625,5944.58701171875,6324.59248046875,6669.0287109375,6993.1412109375,7401.81796875,7800.96533203125
32,Aligarh_IN,1411.331298828125,1414.0591796875,1433.7291015625,1462.0736328125,1506.441748046875,1565.95302734375,1617.212841796875,1656.8634033203125,1701.4631103515626,1743.925244140625,1778.9999755859376,1832.3560546875,1906.70166015625,1993.6270751953125,2088.4598388671875,2204.0311279296875,2327.18212890625,2454.82685546875,2583.396142578125,2724.814404296875,2868.980126953125
33,Alkmaar_NL,38248.9765625,38828.92109375,39529.475,40584.75234375,41966.85703125,43564.559375,45212.240625,46636.65859375,47936.00703125,48813.4390625,49531.6921875,50151.7921875,50936.1265625,51680.52265625,52511.70390625,52773.79453125,53111.3390625,53397.2203125,53274.7046875,53041.3015625,53219.2484375
34,Allentown_US,39342.4953125,39790.4515625,40486.4796875,41313.73203125,42368.9328125,43570.1296875,44923.26328125,45991.45078125,46965.58984375,47779.628125,48527.028125,49130.57734375,50014.93203125,50860.846875,51475.00234375,51674.97421875,51949.61484375,52101.68515625,52263.83359375,52568.746875,53249.45859375
35,Almere_NL,25697.921875,25828.887890625,25929.353515625,26293.350390625,26877.440234375,27728.512890625,28530.716015625,29503.81953125,30109.803125,30771.828515625,31139.136328125,31517.636328125,32230.005859375,33434.6328125,34245.29453125,34469.514453125,34610.76640625,34316.99609375,33576.25625,32982.041015625,32951.474609375
36,Almeria_ES,21095.457421875,20941.228515625,21268.3234375,22143.3734375,23278.61484375,24807.98984375,26517.3875,27825.16640625,28915.111328125,29891.8578125,30379.534375,30715.767578125,31040.586328125,31375.477734375,31506.9359375,31068.08125,30158.412890625,29142.51953125,27780.95234375,26504.191796875,25881.7359375
37,Almetyevsk_RU,17972.446484375,16334.3755859375,15089.741015625,14402.6763671875,13893.7498046875,13878.4314453125,14712.73125,15272.9662109375,15911.108984375,16899.2505859375,18011.701171875,18488.65390625,19438.17578125,20787.502734375,22168.976953125,22954.14375,22907.823046875,22661.466015625,22114.681640625,21352.296875,20921.03046875
38,Alphen aan den Rijn_NL,34371.9921875,34754.0484375,35245.4375,36011.44140625,37121.134375,38410.87109375,39861.36953125,41258.4640625,42243.046875,42893.06328125,43402.35546875,43881.50703125,44477.3109375,45594.8421875,46692.66328125,47099.059375,47259.815625,47281.4171875,46755.81953125,46163.85390625,46158.21875
39,Amarillo_US,33794.034375,34330.0421875,35151.271875,36174.63046875,37337.70234375,38628.4578125,40125.49609375,41363.06953125,42133.125,42763.83046875,43353.56328125,44027.803125,44871.34296875,45906.78671875,46970.9703125,47158.79921875,47145.3109375,47073.63671875,47028.92109375,46890.3765625,47536.44921875
40,Ambala_IN,3077.268017578125,3137.686767578125,3200.64443359375,3267.8990234375,3341.614892578125,3467.6421875,3644.283740234375,3850.21708984375,4068.9646484375,4302.4701171875,4525.259765625,4691.2861328125,4893.58564453125,5177.50146484375,5481.80947265625,5837.18955078125,6305.86455078125,6771.21064453125,7207.62373046875,7665.86279296875,8115.60625
41,Amersfoort_NL,33146.751953125,34022.408203125,35028.12109375,36170.68984375,37656.29296875,39409.5375,41119.6140625,42767.17578125,43956.3125,44606.015625,44839.63671875,44940.46171875,45106.4671875,45814.28515625,46606.5390625,47197.05390625,47597.58984375,47813.72734375,47552.43828125,47230.65390625,47088.059375
42,Ames_US,33633.438671875,34113.268359375,35132.2671875,36125.84140625,37389.89375,38337.74296875,39486.2484375,40172.5640625,40921.69921875,41638.19296875,42636.175,43395.67578125,44195.875,44949.9328125,45760.18671875,45961.9,46305.36953125,46726.33203125,47078.72265625,47333.78671875,47904.1796875
43,Amiens_FR,23827.60390625,23950.323046875,24086.303125,24474.040234375,25228.021484375,26031.14296875,26758.07421875,27504.08046875,27977.5109375,28185.550390625,28341.105859375,28461.343359375,28544.63203125,28632.66953125,28745.98828125,28511.0390625,28285.771484375,28130.96953125,27961.63203125,27804.012109375,27884.41953125
44,Amravati_IN,3029.693115234375,3182.60263671875,3381.095263671875,3510.37099609375,3610.268701171875,3695.8982421875,3731.53955078125,3767.7384765625,3840.181982421875,3953.138525390625,4103.950341796875,4386.2029296875,4751.1708984375,5167.25146484375,5533.0509765625,5944.58701171875,6324.59248046875,6669.0287109375,6993.1412109375,7401.81796875,7800.96533203125
45,Amritsar_IN,3413.383154296875,3513.674267578125,3603.853271484375,3656.263427734375,3702.9958984375,3799.028857421875,3947.90537109375,4108.8154296875,4258.839794921875,4410.92783203125,4531.06337890625,4574.78779296875,4670.456640625,4889.628515625,5103.41611328125,5353.063671875,5695.71806640625,6033.08076171875,6323.95263671875,6670.52353515625,7034.682421875
46,Amsterdam_NL,37881.46953125,38501.51484375,39246.025,40316.3046875,41722.571875,43353.26640625,45028.60078125,46503.565625,47799.521875,48649.81328125,49308.64375,49872.603125,50576.05546875,51335.03515625,52179.475,52484.36640625,52813.9140625,53082.5609375,52923.834375,52662.13984375,52796.79765625
