,cntr,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,AT,32224.998290178482,32714.959028785255,33203.058724980525,33765.1283188537,34590.84359106864,35531.268763115615,36541.74986988216,37471.16367440452,38354.28264816976,39028.86939216337,39626.126059437265,40113.80210671108,40776.110597594976,41636.35665341944,42561.32344074376,42962.1165437238,43372.76418542718,43763.69401346002,43886.12777499134,43857.99223391466,44175.98755578516
1,AU,36960.828408227295,37410.57037661642,38178.842387356475,39226.39961967092,40347.62258391176,41574.67117182544,42841.78964459094,43974.08278581068,45137.57321221211,46183.4418461789,47197.41173838454,48152.23608057336,49168.92746747952,50251.26696348376,51319.56009244926,52076.92584313106,52718.91761964812,53350.89483714212,53894.020963564515,54371.09005223806,54987.09566266652
2,BE,29995.61756979134,30373.263554709683,30735.621272458182,31255.580630191136,31971.41433419492,32734.534052960662,33603.51388902472,34455.77420839144,35173.550453658296,35821.711562483535,36477.98653658926,37028.23866764962,37669.14378753868,38448.54098550372,39155.43488350706,39408.22277787326,39678.59745154596,39834.863768387324,39771.93294515736,39735.62646984536,40014.86647006146
3,BG,4012.041227805074,3930.98364854057,3962.877612508028,3930.5111848973124,3936.405780928354,3865.284731339942,3804.4755762039285,3741.3732495221075,3858.4101137464663,3994.2424232257354,4256.729838091131,4559.391170511911,4897.788170838676,5254.716825629371,5642.86935807805,5930.696260724151,6170.061532402998,6365.19552318148,6494.966113685218,6541.727961822537,6643.330303739844
4,BR,6165.335753981844,6251.15452349563,6353.830782893545,6507.455118169164,6606.96243288028,6642.004174322283,6682.590128643562,6715.4853666061435,6747.8680798629475,6794.524831018146,6916.653970860983,7029.576689589737,7184.00178524035,7390.441609371928,7662.937347300537,7855.5374715702055,8125.532020542468,8406.515723981418,8630.466925955832,8828.258425369737,9037.401390148998
5,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32845.76473465378,33604.378765146794,34443.07519114574,35295.05888970944,36185.37700395338,37295.144548633914,38711.47257880012,39919.37934203728,40575.747889411345,41092.17266386874,41544.33633801645,41588.01079188398,41744.54102060852,42397.901709526355
6,CH,68306.54869900286,67745.67824011024,67493.0558805204,67669.84758705649,68366.40372867769,69178.71107092113,70502.3280322513,71957.48097120707,73026.38575094736,73599.11633512817,74304.95247250791,74859.26865600802,75791.81761421218,77325.17328628365,79213.59179031722,80243.51544059056,81291.93287708049,81953.8726369862,82152.91508350671,82222.28132581108,83039.46276134935
7,CL,6158.844977878349,6536.470062834756,6925.95216636454,7299.5979934466395,7658.558414202994,7947.980442854148,8199.748238321383,8408.501884012987,8562.43747914288,8734.70551420574,9034.852634697487,9365.66917005305,9763.075513109312,10210.701921633443,10653.444152359192,10943.81916851948,11248.35310375914,11573.399519804061,11938.44847031946,12303.40488435592,12736.87450388344
8,CN,1121.0382236723078,1244.0374088586232,1379.6313440222561,1517.05527351006,1651.1536276837583,1781.8086602481283,1916.5819015889022,2057.8093713749704,2211.834026312504,2389.34457890106,2594.0695569994405,2833.4329928053403,3121.6711658320837,3473.898500767914,3856.7911824593743,4270.204643240828,4721.474359671786,5191.859744160636,5646.385160615656,6115.34026073231,6596.115646223296
9,CZ,10585.518118373579,10504.02295709216,10786.106207594139,11071.091433916119,11350.82357586028,11606.38280605382,11825.05234697308,12029.77367021182,12289.10240323938,12648.20174735196,13101.123470993081,13634.306554407744,14277.07120662086,15032.943453521719,15756.70053566444,16174.768555186922,16480.2766584913,16642.893063049683,16616.455827717342,16525.85166848452,16684.00338017458
