,region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Aargau_CH,44697.83125,44359.0265625,44144.90234375,44112.73515625,44400.7484375,44699.21328125,45608.77421875,47027.89921875,48031.58125,48304.1875,48466.57421875,48325.934375,48070.1625,48436.64375,49417.7859375,49987.88671875,50338.07734375,50422.72578125,50176.5828125,49892.4234375,50069.4984375
1,Abruzzo_IT,27924.06126490246,28273.78631457731,28528.592596188584,28681.12364071532,29011.111386831646,29311.27833498916,29777.60712156792,30301.437649024563,30793.211743587424,31149.80425397399,31260.77067377168,31187.585634934967,31173.63866284321,31248.689202492773,31359.85291275289,31187.70339595376,30949.559767882944,30588.80201634754,29985.18636651012,29299.467512644507,28998.423270411848
2,Adana_TR,9945.038264627661,10145.705064827129,10476.696192652927,10996.334102393617,11370.836368849734,11663.78660405585,11819.32604305186,11753.409660904255,11528.855115525268,11457.609635970744,11678.319253656915,12059.322766788564,12760.195038231384,13459.645704787235,14057.678736702126,14291.454725731386,14557.897372007981,14881.23041555851,15115.462893949469,15439.625501994684,15984.94368351064
3,Aegean_GR,20438.55234375,20840.03984375,21445.333203125,22402.226171875,23459.371484375,24675.73515625,25575.420703125,26459.92734375,27082.2515625,28078.96328125,28906.605859375,29774.8453125,31030.29296875,32362.735546875,33207.190625,33800.3328125,33848.260546875,32682.24609375,30966.725390625,29184.659375,27652.711328125
4,Afyon_TR,6447.1458768827415,6364.218115234375,6482.4848927540825,6780.2291420326565,7077.373902906814,7438.147144654419,7719.7395547402875,7750.433618823901,7687.550002639358,7624.5445910754515,7727.348356999578,7984.735653329111,8448.798178842906,8911.919415118242,9307.889973078547,9462.677966638512,9639.095579954956,9853.181461148648,10008.271889956362,10222.906876407656,10583.97372606982
5,Aguascalientes_MX,13268.543266091418,13573.404699160446,13952.25503148321,14424.135164995334,14908.397134444964,15271.951921058766,16040.179326026118,16810.11381471549,17272.50557077892,17557.991980527055,17854.42723880597,17905.24508512127,17996.69670592351,17642.763444496268,17200.59815181903,16718.252667327426,16350.728903334888,15827.401192280784,15941.181678521456,16192.010450676307,16495.467747201492
6,Aichi_JP,36823.90390625,36959.709375,37145.965625,37309.80234375,37534.2578125,37697.1609375,37766.79765625,37637.5578125,37768.8359375,38086.61875,38656.7890625,39368.490625,40127.23984375,41033.73203125,41261.65703125,40748.2171875,40368.71640625,39781.096875,39083.825,39119.62265625,39733.01171875
7,Akershus_NO,38540.60703125,41404.11484375,44476.9140625,47542.32734375,49979.1046875,51389.0625,52940.87734375,53430.4015625,54896.58828125,56065.51328125,57932.64375,58918.9765625,60925.20859375,61220.73125,62438.71953125,63093.03359375,62961.8140625,62127.08046875,61653.3921875,60653.67265625,59984.6578125
8,Akita_JP,22527.34765625,23206.716015625,23912.99296875,24621.951171875,25097.91953125,25405.716015625,25638.771484375,25780.422265625,25842.564453125,26023.485546875,26204.519921875,26421.690625,26849.64921875,27498.005859375,27971.809765625,28486.17421875,29223.2546875,29620.62421875,29954.47421875,30483.517578125,30961.49375
9,Alabama_US,30993.084765625,31642.76328125,32322.56015625,33006.951171875,33752.901953125,34484.796875,35151.040625,35842.59375,36547.04765625,37311.42421875,38166.05625,39193.65078125,40157.79609375,40958.46640625,41497.6625,41547.7828125,41481.0765625,41447.603125,41511.003125,41685.86953125,42193.05625
