,MA,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,'s-Hertogenbosch_NL,58.0,64.0,74.0,85.0,98.0,97.0,105.0,113.0,108.0,106.0,133.0,137.0,120.0,121.0,130.0,136.0,155.0,208.0,223.0,246.0,254.0,276.0,313.0,369.0,391.0,434.0,468.0,472.0,481.0,488.0,477.0
1,A Coruña_ES,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,9.0,9.0,5.0,16.0,20.0,24.0,28.0,36.0,35.0,54.0,56.0,66.0,84.0,122.0,145.0,175.0,169.0
2,Aalborg_DK,27.0,34.0,28.0,35.0,36.0,41.0,35.0,33.0,27.0,31.0,22.0,21.0,24.0,18.0,10.0,26.0,37.0,64.0,80.0,114.0,132.0,152.0,183.0,200.0,220.0,277.0,284.0,279.0,313.0,319.0,266.0
3,Aarhus_DK,64.0,78.0,68.0,88.0,79.0,81.0,60.0,64.0,35.0,47.0,51.0,59.0,73.0,86.0,88.0,106.0,131.0,183.0,231.0,257.0,307.0,357.0,370.0,432.0,673.0,938.0,1271.0,1561.0,1697.0,1715.0,1614.0
4,Abakan_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
5,Abbotsford_CA,29.0,21.0,20.0,22.0,25.0,26.0,42.0,42.0,47.0,46.0,50.0,36.0,41.0,37.0,44.0,54.0,75.0,84.0,97.0,111.0,102.0,89.0,104.0,110.0,109.0,123.0,139.0,132.0,127.0,111.0,120.0
6,Aberdeen_GB,136.0,152.0,148.0,162.0,149.0,130.0,126.0,122.0,121.0,125.0,151.0,169.0,198.0,225.0,263.0,286.0,295.0,311.0,311.0,322.0,329.0,354.0,384.0,482.0,575.0,684.0,758.0,844.0,950.0,956.0,926.0
7,Abilene_US,83.0,57.0,48.0,42.0,31.0,30.0,29.0,34.0,44.0,53.0,63.0,79.0,73.0,60.0,51.0,38.0,20.0,27.0,29.0,35.0,35.0,36.0,33.0,34.0,39.0,51.0,52.0,60.0,77.0,80.0,74.0
8,Adana_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
9,Adelaide_AU,123.0,143.0,159.0,171.0,207.0,240.0,241.0,249.0,258.0,232.0,219.0,210.0,203.0,171.0,171.0,160.0,181.0,197.0,233.0,293.0,352.0,376.0,438.0,487.0,499.0,535.0,553.0,545.0,536.0,535.0,495.0
10,Agra_IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,12.0,15.0,21.0,20.0,20.0,18.0
11,Aguascalientes_MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,18.0,24.0,17.0,18.0,17.0,13.0
12,Ahmadnagar_IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0
13,Ahmedabad_IN,0.0,0.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,4.0,5.0,3.0,3.0,5.0,11.0,13.0,29.0,40.0,58.0,65.0,83.0,88.0,131.0,157.0,185.0,220.0,275.0,266.0,305.0,304.0
14,Aitkenvale_AU,9.0,9.0,8.0,7.0,7.0,5.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,4.0,4.0,5.0,7.0,8.0,12.0,19.0,18.0,15.0,15.0,12.0,5.0,17.0,21.0,23.0,39.0,53.0,52.0
15,Aix-en-Provence_FR,40.0,42.0,60.0,59.0,57.0,62.0,61.0,41.0,39.0,47.0,54.0,57.0,81.0,163.0,200.0,245.0,284.0,308.0,317.0,335.0,312.0,309.0,346.0,334.0,352.0,430.0,499.0,504.0,493.0,456.0,394.0
16,Aizu-Wakamatsu_JP,3.0,3.0,3.0,0.0,6.0,5.0,6.0,13.0,19.0,15.0,16.0,15.0,13.0,9.0,11.0,25.0,25.0,27.0,42.0,45.0,54.0,90.0,98.0,118.0,131.0,113.0,78.0,66.0,41.0,28.0,30.0
