,cntr,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,AT,1031.0,1272.0,1520.0,1794.0,2186.0,2499.0,2609.0,2559.0,2519.0,2456.0,2421.0,2448.0,2633.0,2822.0,3128.0,3528.0,4123.0,4907.0,5504.0,5851.0,6155.0,6393.0,6736.0,7400.0,8349.0,9283.0,9906.0,10549.0,11377.0,11242.0,11069.0
1,AU,1970.0,2229.0,2607.0,3002.0,3415.0,3748.0,3932.0,3876.0,3933.0,3964.0,3980.0,3731.0,3640.0,3346.0,3744.0,3724.0,4842.0,5301.0,6598.0,7554.0,9864.0,11709.0,13494.0,14906.0,16297.0,15670.0,14598.0,14591.0,13991.0,12735.0,12001.0
2,BE,2243.0,2529.0,2763.0,2878.0,2889.0,2910.0,2815.0,2678.0,2638.0,2828.0,2950.0,3270.0,3706.0,4413.0,5078.0,5910.0,6640.0,7295.0,7787.0,8142.0,8332.0,8687.0,9400.0,10171.0,10837.0,11153.0,11604.0,11943.0,12008.0,11674.0,11463.0
3,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,181.0,225.0,280.0,356.0,412.0,446.0,459.0,451.0,406.0,424.0,528.0,551.0,556.0
4,BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,266.0,304.0,349.0,367.0,403.0,438.0,464.0,497.0,567.0,603.0,642.0,679.0,725.0,860.0,1099.0,1342.0,1605.0,1981.0,2290.0,2573.0,2629.0,2566.0
5,CA,10162.0,10621.0,11078.0,11909.0,12987.0,14181.0,15654.0,16915.0,18420.0,19852.0,21124.0,22394.0,24002.0,26390.0,29246.0,31948.0,35117.0,37965.0,39542.0,40402.0,42995.0,43740.0,45590.0,48296.0,51390.0,52524.0,56196.0,60272.0,62592.0,60875.0,58471.0
6,CH,8551.0,9347.0,9600.0,9897.0,10367.0,10643.0,10286.0,10010.0,10048.0,9898.0,9943.0,10334.0,11172.0,12443.0,14141.0,15822.0,18271.0,20961.0,22853.0,24109.0,26282.0,27529.0,29511.0,31210.0,33474.0,34747.0,37053.0,38874.0,41226.0,42593.0,43424.0
7,CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,286.0,393.0,483.0,565.0,728.0,774.0
8,CN,0.0,450.0,721.0,804.0,860.0,1278.0,1423.0,1872.0,2941.0,4027.0,4699.0,5164.0,5534.0,5697.0,6172.0,7655.0,10838.0,13173.0,16895.0,21524.0,27402.0,37330.0,54164.0,76241.0,105793.0,143535.0,184528.0,232178.0,277381.0,292146.0,280473.0
9,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.0,234.0,300.0,363.0,450.0,514.0,581.0,624.0,655.0,762.0,891.0,1068.0,1393.0,1825.0,2137.0,2517.0,2922.0,3227.0,3255.0,3213.0
10,DE,38967.0,41915.0,44295.0,47080.0,50249.0,51873.0,53075.0,51284.0,51118.0,52558.0,55775.0,59278.0,66845.0,77113.0,96833.0,116834.0,142113.0,163438.0,179869.0,182358.0,191595.0,204239.0,220339.0,233735.0,252451.0,258943.0,259339.0,261893.0,269499.0,246122.0,217771.0
11,DK,1054.0,1240.0,1355.0,1532.0,1660.0,1802.0,1745.0,1693.0,1498.0,1445.0,1386.0,1498.0,1634.0,1878.0,2092.0,2507.0,3065.0,3690.0,4294.0,4803.0,5335.0,5621.0,5957.0,6462.0,7384.0,8171.0,9078.0,10029.0,10473.0,10810.0,10643.0
12,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,299.0,321.0,366.0,416.0
13,ES,813.0,886.0,974.0,1209.0,1410.0,1683.0,1969.0,2233.0,2427.0,2705.0,2958.0,3279.0,3605.0,3987.0,4354.0,4988.0,5599.0,6430.0,7454.0,8299.0,9398.0,11054.0,12539.0,14444.0,16799.0,19169.0,21014.0,22902.0,23768.0,23822.0,22646.0
