,region,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
0,Aargau_CH,533.0,511.0,522.0,514.0,529.0,558.0,637.0,655.0,689.0,676.0,691.0,635.0,644.0,779.0,1004.0,1170.0,1351.0,1606.0,1781.0,1816.0,1999.0,2194.0,2241.0,2245.0,2489.0,2788.0,3157.0,3571.0,4373.0,4828.0,5284.0
1,Abruzzo_IT,15.0,13.0,21.0,31.0,41.0,42.0,42.0,38.0,42.0,36.0,39.0,49.0,68.0,59.0,93.0,107.0,113.0,122.0,131.0,138.0,184.0,223.0,248.0,319.0,326.0,316.0,327.0,363.0,366.0,323.0,288.0
2,Adana_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
3,Aegean_GR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,15.0,15.0,27.0,36.0,33.0,30.0,31.0,19.0,9.0
4,Afyon_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
5,Aguascalientes_MX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,13.0,18.0,24.0,17.0,18.0,17.0,13.0
6,Aichi_JP,31831.0,33455.0,30777.0,27725.0,24410.0,19857.0,19217.0,19951.0,19653.0,20578.0,22597.0,26080.0,29181.0,33288.0,35645.0,37813.0,39678.0,42485.0,45675.0,49593.0,54865.0,59823.0,65343.0,71266.0,74029.0,73716.0,73069.0,73008.0,71136.0,69719.0,70178.0
7,Akershus_NO,56.0,69.0,75.0,80.0,107.0,105.0,109.0,88.0,85.0,68.0,75.0,67.0,76.0,88.0,105.0,129.0,150.0,184.0,219.0,249.0,268.0,292.0,325.0,321.0,378.0,448.0,529.0,601.0,704.0,625.0,557.0
8,Akita_JP,98.0,100.0,90.0,80.0,65.0,56.0,59.0,62.0,52.0,52.0,55.0,67.0,76.0,105.0,116.0,137.0,154.0,190.0,229.0,277.0,301.0,319.0,299.0,310.0,333.0,402.0,487.0,536.0,500.0,447.0,335.0
9,Alabama_US,1179.0,1282.0,1381.0,1593.0,1857.0,2079.0,2212.0,2349.0,2402.0,2422.0,2520.0,2654.0,2731.0,2903.0,3000.0,3113.0,3185.0,3416.0,3636.0,3696.0,3529.0,3451.0,3299.0,3140.0,3478.0,4000.0,4492.0,5039.0,5516.0,5419.0,5323.0
10,Alagoas_BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,7.0,9.0,0.0,9.0,9.0
11,Alaska_US,136.0,133.0,149.0,164.0,176.0,221.0,233.0,249.0,315.0,343.0,339.0,373.0,393.0,356.0,324.0,315.0,311.0,290.0,294.0,314.0,296.0,272.0,285.0,299.0,344.0,433.0,540.0,616.0,671.0,669.0,641.0
12,Alba_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,5.0,6.0,11.0,10.0,9.0
13,Alberta_CA,550.0,578.0,662.0,742.0,936.0,1131.0,1356.0,1509.0,1730.0,1881.0,1962.0,2174.0,2385.0,2672.0,3003.0,3217.0,3445.0,3731.0,3993.0,4005.0,4124.0,4086.0,4222.0,4303.0,4714.0,5117.0,5545.0,5930.0,6129.0,6086.0,6154.0
14,Altay_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,12.0,17.0,17.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,13.0,12.0,11.0,16.0,15.0,13.0,13.0,18.0
15,Amazonas_BR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,13.0,13.0,13.0,33.0,24.0,21.0,24.0,25.0,5.0,6.0,5.0
16,Andalucía_ES,51.0,54.0,44.0,58.0,51.0,53.0,76.0,79.0,79.0,94.0,127.0,136.0,180.0,207.0,239.0,266.0,335.0,369.0,468.0,528.0,597.0,682.0,815.0,985.0,1207.0,1567.0,1885.0,2106.0,2246.0,2391.0,2293.0
17,AndhraPradesh_IN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,12.0,19.0,25.0,53.0,90.0,119.0,159.0,241.0,367.0,481.0,634.0,755.0,828.0,756.0,708.0
18,Anhui_CN,0.0,5.0,11.0,13.0,17.0,15.0,21.0,26.0,46.0,67.0,84.0,90.0,88.0,88.0,85.0,98.0,112.0,133.0,151.0,191.0,247.0,358.0,584.0,863.0,1277.0,1846.0,2564.0,3551.0,4867.0,5341.0,5321.0
19,Ankara_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,20.0,27.0,31.0,39.0,46.0,40.0,45.0,77.0,98.0,108.0,151.0,187.0,219.0,275.0,371.0,424.0
20,Antalya_TR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,16.0,15.0,19.0,17.0,21.0,25.0,30.0,30.0
21,Antofagasta_CL,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,12.0
22,Aomori_JP,103.0,86.0,67.0,66.0,52.0,46.0,61.0,64.0,55.0,59.0,64.0,61.0,77.0,87.0,107.0,112.0,117.0,141.0,169.0,175.0,212.0,240.0,236.0,234.0,231.0,213.0,184.0,169.0,158.0,128.0,99.0
23,AppenzellAusserrhoden_CH,55.0,60.0,69.0,65.0,64.0,50.0,43.0,30.0,36.0,40.0,50.0,47.0,57.0,56.0,52.0,57.0,83.0,99.0,97.0,112.0,124.0,107.0,90.0,109.0,124.0,117.0,146.0,164.0,184.0,187.0,184.0
24,AppenzellInnerrhoden_CH,0.0,0.0,0.0,0.0,0.0,7.0,8.0,13.0,12.0,15.0,23.0,21.0,19.0,17.0,15.0,10.0,17.0,18.0,21.0,18.0,16.0,9.0,8.0,14.0,20.0,20.0,28.0,29.0,32.0,34.0,35.0
25,Apulia_IT,15.0,18.0,32.0,43.0,49.0,53.0,48.0,36.0,26.0,19.0,16.0,23.0,47.0,53.0,63.0,63.0,71.0,50.0,56.0,62.0,68.0,102.0,129.0,158.0,208.0,236.0,231.0,277.0,299.0,274.0,250.0
26,Arad_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,9.0,9.0
27,Aragón_ES,9.0,12.0,12.0,20.0,41.0,48.0,55.0,68.0,83.0,88.0,101.0,105.0,114.0,131.0,135.0,136.0,158.0,176.0,201.0,214.0,285.0,339.0,385.0,477.0,568.0,620.0,701.0,784.0,759.0,745.0,697.0
28,Araucanía_CL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0
29,Argeș_RO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0
30,Arizona_US,2619.0,2733.0,2923.0,3213.0,3571.0,3810.0,4124.0,4357.0,4613.0,4887.0,5308.0,5600.0,5924.0,6168.0,6349.0,6655.0,7034.0,7783.0,8434.0,8856.0,8926.0,9060.0,8982.0,9714.0,11278.0,13056.0,14847.0,16788.0,18150.0,18530.0,18759.0
31,Arkansas_US,925.0,1003.0,1011.0,1060.0,1228.0,1298.0,1397.0,1475.0,1549.0,1567.0,1666.0,1666.0,1781.0,1930.0,2051.0,2190.0,2462.0,2647.0,2784.0,2747.0,2660.0,2449.0,2229.0,2122.0,2215.0,2407.0,2629.0,2943.0,3389.0,3823.0,4022.0
32,Arkhangel'sk_RU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,21.0,22.0,27.0,28.0,16.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
